profile;montage;sides;apv;profile_category;Antal m� fireboard pr. m profil;Antal bj�lkeprofiler/PDP pr. m profil;Antal vinkelprofil pr. m profil;Antal skruer pr. m profil;Antal klammer pr. m profil
HEA360;Bjælkeprofil eller PDP profil;4;100;H-profiler;1,5900;4;0;64;
HEA400;Klammeløsning;1;60;H-profiler;0,4480;;2;16;16
HEA400;Klammeløsning;2;44;H-profiler;0,7350;;2;16;8
HEA400;Klammeløsning;3;68;H-profiler;1,1250;;2;16;16
HEA400;Klammeløsning;4;87;H-profiler;1,4700;;0;0;32
HEA400;Bjælkeprofil eller PDP profil;1;69;H-profiler;0,5480;2;2;48;
HEA400;Bjælkeprofil eller PDP profil;2;46;H-profiler;0,7850;1;2;32;
HEA400;Bjælkeprofil eller PDP profil;3;72;H-profiler;1,2250;2;2;48;
HEA400;Bjælkeprofil eller PDP profil;4;95;H-profiler;1,6700;4;0;64;
HEA450;Klammeløsning;1;55;H-profiler;0,4520;;2;16;16
HEA450;Klammeløsning;2;42;H-profiler;0,7850;;2;16;8
HEA450;Klammeløsning;3;67;H-profiler;1,2250;;2;16;16
HEA450;Klammeløsning;4;84;H-profiler;1,5700;;0;0;32
HEA450;Bjælkeprofil eller PDP profil;1;63;H-profiler;0,5520;2;2;48;
HEA450;Bjælkeprofil eller PDP profil;2;44;H-profiler;0,8350;1;2;32;
HEA450;Bjælkeprofil eller PDP profil;3;70;H-profiler;1,3250;2;2;48;
HEA450;Bjælkeprofil eller PDP profil;4;90;H-profiler;1,7700;4;0;64;
HEA500;Klammeløsning;1;51;H-profiler;0,4560;;2;16;16
HEA500;Klammeløsning;2;40;H-profiler;0,8350;;2;16;8
HEA500;Klammeløsning;3;65;H-profiler;1,3250;;2;16;16
HEA500;Klammeløsning;4;80;H-profiler;1,6700;;0;0;32
HEA500;Bjælkeprofil eller PDP profil;1;58;H-profiler;0,5560;2;2;48;
HEA500;Bjælkeprofil eller PDP profil;2;42;H-profiler;0,8850;1;2;32;
HEA500;Bjælkeprofil eller PDP profil;3;68;H-profiler;1,4250;2;2;48;
HEA500;Bjælkeprofil eller PDP profil;4;86;H-profiler;1,8700;4;0;64;
HEA550;Klammeløsning;1;49;H-profiler;0,4580;;2;16;16
HEA550;Klammeløsning;2;40;H-profiler;0,8850;;2;16;8
HEA550;Klammeløsning;3;66;H-profiler;1,4250;;2;16;16
HEA550;Klammeløsning;4;80;H-profiler;1,7700;;0;0;32
HEA550;Bjælkeprofil eller PDP profil;1;56;H-profiler;0,5580;2;2;48;
HEA550;Bjælkeprofil eller PDP profil;2;42;H-profiler;0,9350;1;2;32;
HEA550;Bjælkeprofil eller PDP profil;3;68;H-profiler;1,5250;2;2;48;
HEA550;Bjælkeprofil eller PDP profil;4;85;H-profiler;1,9700;4;0;64;
HEA600;Klammeløsning;1;47;H-profiler;0,4600;;2;16;16
HEA600;Klammeløsning;2;40;H-profiler;0,9350;;2;16;8
HEA600;Klammeløsning;3;66;H-profiler;1,5250;;2;16;16
HEA600;Klammeløsning;4;79;H-profiler;1,8700;;0;0;32
HEA600;Bjælkeprofil eller PDP profil;1;54;H-profiler;0,5600;2;2;48;
